ID,X(m),Y(m)
355,346323.17,3050925.69
356,348339.81,3049987.65
357,344701.27,3049745.83
358,355326.52,3041087.89
359,347621.91,3035051.04
360,338588.18,3046484.73
361,346277.66,3052564.34
362,345339.14,3052075.26
363,346497.80,3035552.28
364,347867.64,3050272.68
365,344529.71,3038043.80
366,345124.47,3037264.40
367,347646.67,3049087.65
368,352106.51,3044696.77
369,343925.86,3038844.31
370,343262.58,3039608.76
371,353184.19,3043157.66
372,354370.91,3043196.47
373,340953.99,3044889.19
374,340579.78,3043976.25
375,346900.06,3034859.44
376,341074.77,3043892.58
377,354508.83,3041461.82
378,348565.56,3035477.66
379,345784.46,3035952.81
380,350319.64,3047000.24
381,342535.10,3050185.68
382,352318.62,3043543.24
383,343847.47,3050926.30
384,349049.67,3048667.42
385,341356.17,3041978.16
386,343302.75,3041694.38
387,342987.27,3041294.84
388,341211.13,3042901.72
389,340760.70,3042728.92
390,346395.94,3051726.61
391,355647.77,3041758.49
392,338262.42,3045811.61
393,347010.13,3052710.66
394,348479.84,3049456.42
395,345517.18,3050335.50
396,348031.82,3051677.44
397,343580.74,3040507.98
398,344911.77,3051139.33
399,344037.15,3040697.78
400,348184.40,3049056.24
401,353238.06,3043684.51
402,347213.35,3035186.19
403,348670.55,3046719.87
404,343375.82,3049034.48
405,345577.43,3052432.55
406,351612.71,3044519.56
407,346041.15,3051867.75
408,340862.04,3047473.74
409,348631.68,3047609.78
410,345466.77,3051251.95
411,344588.64,3037465.43
412,343365.54,3039051.13
413,340431.89,3046415.20
414,351525.16,3045455.75
415,355290.31,3041516.69
416,338624.39,3046055.93
417,346686.22,3052429.19
418,348358.33,3047139.55
419,351237.78,3045016.82
420,344125.15,3050541.87
421,354150.18,3041795.48
422,344140.90,3049642.36
423,344369.97,3040231.09
424,341842.19,3047808.89
425,341575.23,3048161.27
426,341322.67,3044430.19
427,343631.93,3039916.67
428,355002.50,3040859.05
429,338914.50,3046722.87
430,346555.69,3051326.62
431,347921.21,3035301.21
432,347065.64,3051327.53
433,354909.54,3043013.19
434,349176.89,3047438.22
435,347767.15,3050859.36
436,347070.38,3050540.10
437,340805.91,3045806.98
438,345640.18,3051691.18
439,352053.65,3045258.97
440,345776.38,3050855.41
441,352620.58,3043062.13
442,350852.05,3046834.86
443,342298.07,3049665.90
444,346474.74,3036428.47
445,346137.45,3036792.87
446,342967.06,3042169.11
447,354322.56,3042275.69
448,341925.94,3046968.09
449,341185.65,3047155.35
450,343316.24,3050803.75
451,343135.76,3048548.86
452,355042.92,3040426.28
453,338869.57,3047153.11
454,342426.02,3041539.86
455,342352.43,3047942.75
456,339038.68,3045871.96
457,342612.32,3048428.08
458,343094.81,3049414.80
459,342437.41,3042068.79
460,341056.72,3048019.74
461,348337.80,3035125.57
462,345701.04,3036536.96
463,349013.52,3049231.13
464,340847.02,3042160.21
